verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Aedes aegypti,MX,14.73,-92.42,0.0,1996,27.6831,12.51371,76.4261,92.54716,35.2295,18.85589,16.37361,28.43811,26.73888,2158.67334,421.85129,4.24634,90.60149,1079.56995,34.18861,7.0
Aedes aegypti,MX,14.62,-92.18,0.0,1996,27.54588,12.74762,74.81242,100.12321,35.44462,18.40518,17.03944,28.44883,26.49607,1827.4021,356.242,4.05823,88.99374,893.32721,31.29582,20.0
Aedes aegypti,MX,16.09,-93.75,0.0,1996,28.0893,11.27697,72.06747,107.73512,35.50671,19.85892,15.64779,29.24367,26.97644,1576.67834,317.22079,2.11601,101.78248,890.74554,22.01175,51.5
Aedes aegypti,MX,17.55,-99.5,0.0,1996,21.91047,14.22304,69.59335,144.13251,31.94515,11.5078,20.43735,23.34239,20.22601,922.91144,207.0117,4.13736,107.13403,572.50842,16.92862,1249.0
Aedes aegypti,MX,20.06,-97.04,0.0,1998,23.82928,10.53998,53.44851,346.66986,33.37374,13.65386,19.71988,27.39753,19.97988,1687.46436,312.20029,62.04281,50.91697,649.04462,229.07487,59.0
Aedes aegypti,MX,18.37,-95.81,0.0,1999,25.35064,9.48502,49.99567,270.52695,34.99839,16.0267,18.97169,28.11346,22.15655,1561.80322,374.76859,14.24095,94.91138,928.73602,49.96594,8.0
Aedes aegypti,MX,18.89,-96.92,0.0,1999,21.55824,12.44476,61.26161,241.29913,31.78098,11.46686,20.31412,23.96218,18.79798,1888.10999,384.04221,34.2584,92.25916,1061.95203,119.39079,828.0
Aedes aegypti,MX,20.96,-97.41,0.0,1998,23.86369,9.12082,50.39828,343.56406,32.29399,14.1965,18.09749,27.38466,20.03604,1350.00793,252.4801,27.38468,69.23115,626.39868,115.52229,11.5
Aedes aegypti,MX,19.53,-96.91,0.0,1998,17.94445,10.30659,60.94569,214.95447,26.40903,9.49792,16.91111,20.09987,15.4448,1611.31165,272.24341,50.44126,65.42316,708.02277,153.83102,1382.0
Aedes aegypti,MX,22.05,-98.18,0.0,1999,23.82044,11.5656,52.6109,389.50381,34.05317,12.06989,21.98328,27.73756,19.44244,911.8363,205.8638,12.49208,79.17654,465.15491,62.57759,10.0
